MongoClusterType,CloudProvider,RAM,CPUs,datavolume,shardingtype,indextype,querytype,responsetime,usagecost,df_name,Unnamed: 0,pricePerHr,pricePerS,Iops,Memory
flights-m50,Azure,32,8,100M,0,1,stringSearch_firstName,77.2200608253479,0.12526809867223104,,113.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,100M,0,0,stringSearch_firstName,157.22959089279175,0.25506133633719547,,114.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,100M,0,1,stringSearch_firstName,77.64926958084106,0.12596437065336438,,115.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,100M,0,0,stringSearch_firstName,157.28005576133728,0.2551432015683916,,116.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,100M,0,1,stringSearch_firstName,79.23566579818726,0.12853785785039265,,117.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,100M,0,0,stringSearch_firstName,155.45804619789124,0.252187497165468,,118.0,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,100M,0,1,stringSearch_firstName,81.17076802253723,0.13167702368100484,,119.0,5.84,0.0016222222222222222,500,32
flights-m80,Azure,128,32,1M,0,0,stringSearch_firstName,2.1270620822906494,0.011657481912109587,,120.0,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,1M,0,1,stringSearch_firstName,1.1971371173858645,0.006560976479450862,,121.0,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,1M,1,1,stringSearch_firstName,1.1212303638458252,0.006144965299632814,,122.0,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,1M,0,0,stringSearch_firstName,1.408632755279541,0.007720090072684817,,123.0,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,1M,0,1,stringSearch_firstName,1.2084786891937256,0.006623134593831168,,124.0,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,1M,1,1,stringSearch_firstName,1.1603281497955322,0.0063592428876294025,,125.0,19.73,0.005480555555555555,1100,256
